Region,Category,Year,Quarter,Total_Sales,N_Transacciones,Ticket_Promedio,Pct_Participacion_Categoria,PC1,PC2,Orden_Tiempo
Central,Furniture,2015,2015Q1,4584.9580000000005,15,305.6638666666667,53.34608066187444,0.6651818786677792,-1.1055105573181556,20151
Central,Furniture,2015,2015Q2,7995.1026,20,399.75513,46.67046438926985,0.7911055036290727,-0.9565254064158788,20152
Central,Furniture,2015,2015Q3,9340.2058,22,424.5548090909091,21.21924176241521,-0.4450228099691877,-0.9255532052738902,20153
Central,Furniture,2015,2015Q4,10894.1012,34,320.41474117647056,32.83612059795111,-0.0248593368221673,-0.4045741954312916,20154
Central,Furniture,2016,2016Q1,5867.022,16,366.688875,51.83194814951716,0.8425103889381207,-1.105302212676716,20161
Central,Furniture,2016,2016Q2,6713.183,21,319.675380952381,27.99592312403132,-0.5507626983704949,-0.9301212049441108,20162
Central,Furniture,2016,2016Q3,9166.5642,26,352.5601615384616,37.43664576668362,0.2175417829810911,-0.7103946270448477,20163
Central,Furniture,2016,2016Q4,13461.8122,38,354.2582157894737,31.569985508747685,0.1689563538273512,-0.2209578020581342,20164
Central,Furniture,2017,2017Q1,8693.421,19,457.5484736842105,44.216843589053816,0.8718615323070243,-1.028836766287308,20171
Central,Furniture,2017,2017Q2,9264.536,30,308.81786666666665,35.965560620144856,0.0105746306843745,-0.5602185395394467,20172
Central,Furniture,2017,2017Q3,12293.8482,35,351.2528057142857,38.17261551924704,0.4487515419937389,-0.3343811443242326,20173
Central,Furniture,2017,2017Q4,19480.1868,48,405.837225,28.62729534884477,0.5435708402120742,0.2657681834893861,20174
Central,Furniture,2018,2018Q1,10687.3982,29,368.5309724137931,26.69503243514178,-0.2279631459489428,-0.6039515074508959,20181
Central,Furniture,2018,2018Q2,9153.983,33,277.39342424242426,39.330607626362486,0.0917989496129531,-0.4520735102651919,20182
Central,Furniture,2018,2018Q3,7797.059,26,299.88688461538464,24.015457620060594,-0.7616655438044798,-0.7415240256872072,20183
Central,Furniture,2018,2018Q4,14924.081,58,257.3117413793103,32.54915819858442,0.0070380424802102,0.4150320732800254,20184
Central,Office Supplies,2015,2015Q1,2540.536,48,52.92783333333333,29.55918862951325,-1.5607386210295648,-0.2444040773753857,20151
Central,Office Supplies,2015,2015Q2,6510.65,60,108.51083333333332,38.00514817358313,-0.6916643535903491,0.1685926860686117,20152
Central,Office Supplies,2015,2015Q3,17121.749,72,237.80206944444444,38.89748675841713,0.4222219739702228,0.869536496052548,20153
Central,Office Supplies,2015,2015Q4,10608.184,114,93.05424561403508,31.97433204946319,-0.884339716531281,1.4843970331692429,20154
Central,Office Supplies,2016,2016Q1,1815.362,32,56.7300625,16.0377358490566,-2.3118211587383595,-0.6341908450474988,20161
Central,Office Supplies,2016,2016Q2,9480.066,66,143.63736363636363,39.534628945277234,-0.3174227796826837,0.4201872054962934,20162
Central,Office Supplies,2016,2016Q3,4067.23,63,64.55920634920635,16.61074372463661,-2.1599512958145524,0.0966641418940415,20163
Central,Office Supplies,2016,2016Q4,10033.149,109,92.04723853211009,23.52925177021161,-1.3799982333315908,1.33511455647184,20164
Central,Office Supplies,2017,2017Q1,5977.276,34,175.80223529411765,30.401872632258947,-0.9053938997447266,-0.4911041963869357,20171
Central,Office Supplies,2017,2017Q2,9124.69,73,124.99575342465754,35.42266891024328,-0.6323926539932408,0.554032894099426,20172
Central,Office Supplies,2017,2017Q3,10227.34,125,81.81872,31.75607110592239,-0.9732250855118068,1.6903299944521863,20173
Central,Office Supplies,2017,2017Q4,20268.957,114,177.7978684210526,29.78644016144828,-0.1107876525226347,1.9576129388603525,20174
Central,Office Supplies,2018,2018Q1,17110.538,85,201.30044705882352,42.73878060356411,0.5043542826384066,1.1863903297562988,20181
Central,Office Supplies,2018,2018Q2,9430.0,106,88.9622641509434,40.51653033620428,-0.4934724244918325,1.279478021212248,20182
Central,Office Supplies,2018,2018Q3,11068.174,124,89.2594677419355,34.09070825659477,-0.7656327353004164,1.7173892073403032,20183
Central,Office Supplies,2018,2018Q4,18206.342,174,104.63414942528736,39.70771171608703,-0.0200152136264143,3.1241083029883523,20184
Central,Technology,2015,2015Q1,1469.248,6,244.87466666666668,17.094730708612314,-1.690180068107768,-1.4564519515039935,20151
Central,Technology,2015,2015Q2,2625.216,11,238.656,15.324387437147015,-1.7360349507566022,-1.2802668579527434,20152
Central,Technology,2015,2015Q3,17555.668,21,835.9841904761905,39.88327147916767,2.317078990864797,-1.040290568983074,20153
Central,Technology,2015,2015Q4,11674.902,32,364.8406875,35.18954735258569,0.2880328147300166,-0.4595718511947881,20154
